yourlist:M20190125216DA2B77BFBD2E6699CA9B6D1C41EB203BCDBR	Entry	Entry name	Status	Protein names	Gene names	Organism	Proteomes
I7GDR1	I7GDR1	I7GDR1_MYCS2	unreviewed	GCN5-related N-acetyltransferase	MSMEI_4450	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GDR4	I7GDR4	I7GDR4_MYCS2	unreviewed	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz MSMEI_4455	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FHS5	I7FHS5	I7FHS5_MYCS2	unreviewed	Transglutaminase-like protein	MSMEI_4456	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCI2	I7GCI2	I7GCI2_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4457	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R101	A0R101	A0R101_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4570	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R102	A0R102	RS20_MYCS2	reviewed	30S ribosomal protein S20	rpsT MSMEG_4571 MSMEI_4459	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7GDS1	I7GDS1	I7GDS1_MYCS2	unreviewed	DegV family protein	MSMEI_4465	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R109	A0R109	OCTT_MYCS2	reviewed	Diglucosylglycerate octanoyltransferase (DGG octanoyltransferase) (EC 2.3.1.273)	octT MSMEG_4578 MSMEI_4466	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7GCI6	I7GCI6	I7GCI6_MYCS2	unreviewed	Phosphoglycerate mutase (EC 5.4.2.-)	MSMEI_4467	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5K3	I7G5K3	I7G5K3_MYCS2	unreviewed	Ribosomal silencing factor RsfS	rsfS MSMEI_4468	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R112	A0R112	NADD_MYCS2	reviewed	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD MSMEG_4581 MSMEI_4469	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7GDS4	I7GDS4	I7GDS4_MYCS2	unreviewed	VWA containing CoxE-like protein	MSMEI_4470	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FHT4	I7FHT4	I7FHT4_MYCS2	unreviewed	ATPase associated with various cellular activities	MSMEI_4471	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R115	A0R115	PROA_MYCS2	reviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA MSMEG_4584 MSMEI_4472	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G5K6	I7G5K6	I7G5K6_MYCS2	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK MSMEI_4473	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQE0	I7FQE0	I7FQE0_MYCS2	unreviewed	ABC-type transporter substrate-binding protein	MSMEI_4474	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCJ2	I7GCJ2	I7GCJ2_MYCS2	unreviewed	Rhodanese-like protein (EC 2.8.1.1)	MSMEI_4477	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R125	A0R125	A0R125_MYCS2	unreviewed	Probable serine/threonine-protein kinase PknH, putative (EC 2.7.11.1)	MSMEG_4595	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GCJ6	I7GCJ6	I7GCJ6_MYCS2	unreviewed	Putative conserved lipoprotein LppH (EC 2.7.11.1)	MSMEI_4482	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R130	A0R130	A0R130_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4599	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GDU2	I7GDU2	I7GDU2_MYCS2	unreviewed	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	nadE MSMEI_4500	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCK7	I7GCK7	I7GCK7_MYCS2	unreviewed	NAD-dependent protein deacetylase (EC 3.5.1.-) (Regulatory protein SIR2 homolog)	cobB MSMEI_4502	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQG0	I7FQG0	I7FQG0_MYCS2	unreviewed	TetR family transcriptional regulator	MSMEI_4504	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R148	A0R148	PROB_MYCS2	reviewed	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB MSMEG_4621 MSMEI_4505	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0R149	A0R149	OBG_MYCS2	reviewed	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg MSMEG_4623 MSMEI_4506	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0R150	A0R150	RL27_MYCS2	reviewed	50S ribosomal protein L27	rpmA MSMEG_4624 MSMEI_4507	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0R151	A0R151	RL21_MYCS2	reviewed	50S ribosomal protein L21	rplU MSMEG_4625 MSMEI_4508	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0R152	A0R152	RNE_MYCS2	reviewed	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne MSMEG_4626 MSMEI_4509	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G5N8	I7G5N8	I7G5N8_MYCS2	unreviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	valS MSMEI_4513	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GDV2	I7GDV2	I7GDV2_MYCS2	unreviewed	Saccharopine dehydrogenase (EC 1.5.1.7)	MSMEI_4515	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FHW9	I7FHW9	I7FHW9_MYCS2	unreviewed	Peptidase S9, prolyl oligopeptidase active site region	MSMEI_4516	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5P7	I7G5P7	I7G5P7_MYCS2	unreviewed	Monooxygenase FAD-binding protein	MSMEI_4523	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R169	A0R169	A0R169_MYCS2	unreviewed	Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	mobA MSMEG_4644	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G5Q2	I7G5Q2	I7G5Q2_MYCS2	unreviewed	Pyruvate flavodoxin/ferredoxin oxidoreductase-like protein (EC 1.2.7.3)	MSMEI_4528	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R172	A0R172	A0R172_MYCS2	unreviewed	Carbohydrate kinase, PfkB, putative	MSMEG_4647	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GCM4	I7GCM4	I7GCM4_MYCS2	unreviewed	Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	MSMEI_4532	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5Q7	I7G5Q7	I7G5Q7_MYCS2	unreviewed	Xylose isomerase-like TIM barrel	MSMEI_4533	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQH8	I7FQH8	I7FQH8_MYCS2	unreviewed	Oxidoreductase	MSMEI_4534	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GDW3	I7GDW3	I7GDW3_MYCS2	unreviewed	Xylose isomerase domain protein TIM barrel (EC 5.3.1.22)	MSMEI_4535	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5R0	I7G5R0	I7G5R0_MYCS2	unreviewed	Sugar ABC transporter ATP-binding protein (EC 3.6.3.17)	MSMEI_4538	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R183	A0R183	A0R183_MYCS2	unreviewed	Sugar ABC transporter substrate-binding protein	MSMEG_4658	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FHZ3	I7FHZ3	I7FHZ3_MYCS2	unreviewed	GntR-family transcriptional regulator	MSMEI_4541	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R185	A0R185	A0R185_MYCS2	unreviewed	Sugar kinase, ribokinase family protein	MSMEG_4661	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GDW7	I7GDW7	I7GDW7_MYCS2	unreviewed	Thiamine pyrophosphate-requiring enzyme, putative acetolactate synthase (EC 2.2.1.6)	MSMEI_4545	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FHZ7	I7FHZ7	I7FHZ7_MYCS2	unreviewed	Xylose isomerase domain protein TIM barrel	MSMEI_4546	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R191	A0R191	IOLG_MYCS2	reviewed	Inositol 2-dehydrogenase (EC 1.1.1.18) (Myo-inositol 2-dehydrogenase) (MI 2-dehydrogenase)	iolG MSMEG_4666 MSMEI_4547	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G5R9	I7G5R9	I7G5R9_MYCS2	unreviewed	Oxidative stress response regulatory protein Oxys	MSMEI_4548	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R193	A0R193	A0R193_MYCS2	unreviewed	Oxidoreductase alpha (Molybdopterin) subunit	MSMEG_4668	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GDW9	I7GDW9	I7GDW9_MYCS2	unreviewed	Sulfur carrier protein FdhD	fdhD MSMEI_4550	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R196	A0R196	CLPX_MYCS2	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX MSMEG_4671 MSMEI_4553	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7GDX1	I7GDX1	I7GDX1_MYCS2	unreviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP MSMEI_4555	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R199	A0R199	TIG_MYCS2	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig MSMEG_4674 MSMEI_4557	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G5S8	I7G5S8	I7G5S8_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4560	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GDX4	I7GDX4	I7GDX4_MYCS2	unreviewed	Esterase/lipase LipP	MSMEI_4562	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FI10	I7FI10	I7FI10_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4563	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCP4	I7GCP4	I7GCP4_MYCS2	unreviewed	Na+/H+ antiporter	MSMEI_4564	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5T3	I7G5T3	I7G5T3_MYCS2	unreviewed	Putative DNA glycosylase Mb2491c (EC 4.2.99.18)	MSMEI_4565	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQK1	I7FQK1	I7FQK1_MYCS2	unreviewed	Ribose-5-phosphate isomerase B (EC 5.3.1.6)	MSMEI_4566	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1A8	A0R1A8	A0R1A8_MYCS2	unreviewed	Putative oxidoreductase YdbC (EC 1.-.-.-)	MSMEG_4686	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1A9	A0R1A9	A0R1A9_MYCS2	unreviewed	Oxidoreductase	MSMEG_4685	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1B0	A0R1B0	A0R1B0_MYCS2	unreviewed	Cytosine deaminase (EC 3.5.4.1)	MSMEG_4687	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G5T7	I7G5T7	I7G5T7_MYCS2	unreviewed	DSBA oxidoreductase	MSMEI_4570	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FI17	I7FI17	I7FI17_MYCS2	unreviewed	Aminopeptidase G Metallo peptidase MEROPS family M01 (EC 3.4.11.2)	MSMEI_4573	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1B5	A0R1B5	Y4692_MYCS2	reviewed	Uncharacterized protein MSMEG_4692/MSMEI_4575	MSMEG_4692 MSMEI_4575	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7FQK8	I7FQK8	I7FQK8_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4576	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FI23	I7FI23	I7FI23_MYCS2	unreviewed	Hemoglobin-like protein HbO	MSMEI_4578	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCQ5	I7GCQ5	I7GCQ5_MYCS2	unreviewed	Putative alpha-glucosidase (EC 3.2.1.20)	MSMEI_4579	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5U5	I7G5U5	I7G5U5_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4580	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQL2	I7FQL2	I7FQL2_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4581	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1C2	A0R1C2	DHE2_MYCS2	reviewed	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase)	gdh MSMEG_4699 MSMEI_4582	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7FI28	I7FI28	I7FI28_MYCS2	unreviewed	ATPase component of ABC transporter	MSMEI_4583	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1C5	A0R1C5	A0R1C5_MYCS2	unreviewed	ABC-type transporter, permease components	MSMEG_4702	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FQL6	I7FQL6	I7FQL6_MYCS2	unreviewed	Putative acyltransferase plsB1 (EC 2.3.1.15)	MSMEI_4586	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1C7	A0R1C7	A0R1C7_MYCS2	unreviewed	Acyltransferase family protein	MSMEG_4704	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FI32	I7FI32	I7FI32_MYCS2	unreviewed	Diacylglycerol O-acyltransferase (EC 2.3.1.20)	MSMEI_4588	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCR4	I7GCR4	I7GCR4_MYCS2	unreviewed	Alpha/beta hydrolase fold protein	MSMEI_4590	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5V2	I7G5V2	I7G5V2_MYCS2	unreviewed	SAM-dependent methyltransferase	MSMEI_4591	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQM2	I7FQM2	I7FQM2_MYCS2	unreviewed	Enoyl-CoA hydratase/isomerase (EC 4.2.1.17)	MSMEI_4592	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5V7	I7G5V7	I7G5V7_MYCS2	unreviewed	Putative citrate lyase (Beta subunit) (EC 4.1.3.6)	MSMEI_4596	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1D6	A0R1D6	A0R1D6_MYCS2	unreviewed	MoaC domain protein	MSMEG_4714	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GDZ5	I7GDZ5	I7GDZ5_MYCS2	unreviewed	Acyl-CoA dehydrogenase FadE19 (EC 1.3.8.1)	MSMEI_4598	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FI42	I7FI42	I7FI42_MYCS2	unreviewed	Acetyl-/propionyl-coenzyme A carboxylase alpha chain (EC 6.3.4.14)	MSMEI_4599	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCS3	I7GCS3	I7GCS3_MYCS2	unreviewed	Acetyl-/propionyl-CoA carboxylase (Beta subunit) AccD1 (EC 6.4.1.3)	MSMEI_4600	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1E0	A0R1E0	A0R1E0_MYCS2	unreviewed	Transcriptional regulator, TetR family protein	MSMEG_4718	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1E1	A0R1E1	A0R1E1_MYCS2	unreviewed	Peptidase S9, prolyl oligopeptidase	MSMEG_4719	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1E2	A0R1E2	A0R1E2_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4720	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GCS8	I7GCS8	I7GCS8_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEI_4605	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1E5	A0R1E5	A0R1E5_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4723	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FQN2	I7FQN2	I7FQN2_MYCS2	unreviewed	Oligoribonuclease (EC 3.1.-.-)	orn MSMEI_4607	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1E8	A0R1E8	PKS5_MYCS2	reviewed	Mycocerosic acid synthase-like polyketide synthase (MAS-like PKS) (EC 2.3.1.-) (Polyketide synthase Pks5)	pks5 MSMEG_4727	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GCT1	I7GCT1	I7GCT1_MYCS2	unreviewed	Acyltransferase papA2	MSMEI_4611	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1F0	A0R1F0	A0R1F0_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4729	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GE05	I7GE05	I7GE05_MYCS2	unreviewed	Fatty-acid-CoA ligase FadD23	MSMEI_4614	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQP0	I7FQP0	I7FQP0_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4618	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5X9	I7G5X9	I7G5X9_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4622	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQP3	I7FQP3	I7FQP3_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4623	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GE13	I7GE13	I7GE13_MYCS2	unreviewed	UDP-glycosyltransferase	MSMEI_4624	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1G2	A0R1G2	A0R1G2_MYCS2	unreviewed	MmpL protein	MSMEG_4741	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1G3	A0R1G3	A0R1G3_MYCS2	unreviewed	Clavaldehyde dehydrogenase	MSMEG_4742	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G5Y3	I7G5Y3	I7G5Y3_MYCS2	unreviewed	Uncharacterized protein	MSMEI_4627	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1G6	A0R1G6	A0R1G6_MYCS2	unreviewed	ErfK/YbiS/YcfS/YnhG family protein	MSMEG_4745	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1H2	A0R1H2	A0R1H2_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4752	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G5Y4	I7G5Y4	I7G5Y4_MYCS2	unreviewed	Bacterioferritin comigratory protein (EC 1.11.1.15)	MSMEI_4633	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1H5	A0R1H5	A0R1H5_MYCS2	unreviewed	Peptidase M20	MSMEG_4755	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0R1H6	A0R1H6	ACPS_MYCS2	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS MSMEG_4756 MSMEI_4636	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7GCU8	I7GCU8	I7GCU8_MYCS2	unreviewed	Fatty acid synthase	MSMEI_4637	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQQ4	I7FQQ4	I7FQQ4_MYCS2	unreviewed	Spermidine/putrescine ABC transporter ATPase subunit (EC 3.6.3.31)	MSMEI_4639	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GE24	I7GE24	I7GE24_MYCS2	unreviewed	ABC transporter, periplasmic substrate-binding protein	MSMEI_4640	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5Z3	I7G5Z3	I7G5Z3_MYCS2	unreviewed	MerR-family transcriptional regulator	MSMEI_4643	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G5Z8	I7G5Z8	I7G5Z8_MYCS2	unreviewed	Twin-arginine translocation pathway signal	MSMEI_4648	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1J0	A0R1J0	A0R1J0_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4771	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FI93	I7FI93	I7FI93_MYCS2	unreviewed	Amidohydrolase 2	MSMEI_4651	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GCW3	I7GCW3	I7GCW3_MYCS2	unreviewed	Transcriptional regulator, TetR family	MSMEI_4657	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0R1M9	A0R1M9	A0R1M9_MYCS2	unreviewed	Uncharacterized protein	MSMEG_4811	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7GCZ2	I7GCZ2	I7GCZ2_MYCS2	unreviewed	Acyl-CoA dehydrogenase fadE1 (EC 1.3.99.-)	MSMEI_4702	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G645	I7G645	I7G645_MYCS2	unreviewed	Aminoglycoside phosphotransferase	MSMEI_4703	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G649	I7G649	I7G649_MYCS2	unreviewed	Acyl-CoA dehydrogenase domain protein (EC 1.3.8.8)	MSMEI_4708	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQW3	I7FQW3	I7FQW3_MYCS2	unreviewed	Acetyl-CoA acetyltransferase (EC 2.3.1.16)	MSMEI_4709	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G658	I7G658	I7G658_MYCS2	unreviewed	Transcriptional regulator, TetR family	MSMEI_4723	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQY0	I7FQY0	I7FQY0_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR (EC 1.1.1.275)	MSMEI_4724	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7GD09	I7GD09	I7GD09_MYCS2	unreviewed	Enoyl-CoA hydratase/isomerase	MSMEI_4727	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FQY5	I7FQY5	I7FQY5_MYCS2	unreviewed	Peptidase M24	MSMEI_4729	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FII0	I7FII0	I7FII0_MYCS2	unreviewed	Cytochrome P450 105Q4 Cyp105Q4	MSMEI_4731	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
